Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
F-Secure,Helsinki,Security,70,NULL,2023-10-25,Post-IPO,Finland,NULL
23andMe,"SF Bay Area",Healthcare,71,0.11,2023-08-08,Post-IPO,"United States",1100
2U,"Washington D.C.",Education,NULL,NULL,2023-09-28,Post-IPO,"United States",426
2U,"Washington D.C.",Education,NULL,NULL,2024-01-22,Post-IPO,"United States",426
7shifts,Saskatoon,Food,30,0.07,2023-09-15,"Series C",Canada,131
7Shifts,Saskatoon,Food,68,0.19,2024-01-11,"Series C",Canada,131
98point6,Seattle,Healthcare,NULL,NULL,2024-04-23,Acquired,"United States",299
Absci,Portland,Healthcare,30,0.15,2023-09-05,Post-IPO,"United States",238
Acronis,Zurich,Security,NULL,NULL,2023-10-11,"Private Equity",Switzerland,658
Actyv.ai,Bengaluru,Finance,NULL,0.6,2023-08-02,Seed,India,12
Adda247,Gurugram,Education,300,NULL,2023-10-14,"Series B",India,61
Affirm,Pittsburgh,Finance,60,NULL,2024-02-21,Post-IPO,"United States",1500
"Agility Robotics",Portland,Other,NULL,NULL,2024-04-04,"Series B","United States",179
Airmeet,Bengaluru,Marketing,NULL,0.2,2024-03-19,"Series B",India,50
Airtable,"SF Bay Area",Product,237,0.27,2023-09-14,"Series F","United States",1400
"Akili Interactive",Boston,Healthcare,NULL,0.46,2024-04-30,Post-IPO,"United States",271
"Akili Labs",Boston,Healthcare,NULL,0.4,2023-09-13,Post-IPO,"United States",301
Akseleran,Jakarta,Finance,60,NULL,2023-07-27,"Series A",Indonesia,9
Akudo,Bengaluru,Finance,NULL,1.0,2023-09-20,Seed,India,4
"Aleph Farms","Tel Aviv",Food,30,0.3,2024-06-05,Unknown,Israel,119
Alerzo,Ibadan,Retail,100,NULL,2023-11-21,"Series B",Nigeria,16
"ALI Technologies",Tokyo,Transportation,NULL,1.0,2024-01-16,Unknown,Japan,NULL
Amazon,Seattle,Retail,NULL,NULL,2023-11-08,Post-IPO,"United States",108
Amazon,Seattle,Retail,NULL,NULL,2023-11-17,Post-IPO,"United States",108
Amazon,Seattle,Retail,NULL,NULL,2024-01-10,Post-IPO,"United States",108
Amazon,Seattle,Retail,NULL,NULL,2024-04-03,Post-IPO,"United States",108
Amazon,Seattle,Retail,180,NULL,2023-11-13,Post-IPO,"United States",108
Amazon,Seattle,Retail,30,NULL,2024-01-18,Post-IPO,"United States",108
Amazon,Seattle,Retail,400,NULL,2024-02-06,Post-IPO,"United States",108
Amperity,Seattle,Marketing,20,NULL,2024-01-25,"Series D","United States",187
"Analog Devices","SF Bay Area",Manufacturing,111,NULL,2023-12-13,Post-IPO,"United States",NULL
Anar,Mumbai,Marketing,NULL,1.0,2023-11-25,Seed,India,6
Ancestry,Lehi,Consumer,81,0.06,2024-03-14,Post-IPO,"United States",33
Andgo,Saskatoon,HR,9,NULL,2023-09-29,"Series A",Canada,5
AppFolio,"Santa Barbara","Real Estate",149,0.09,2023-08-17,Post-IPO,"United States",30
AppHarvest,Lexington,Food,NULL,1.0,2023-07-24,Post-IPO,"United States",692
Apple,"SF Bay Area",Hardware,614,NULL,2024-04-04,Post-IPO,"United States",1200
Apple,"SF Bay Area",Transportation,NULL,NULL,2024-02-27,Post-IPO,"United States",1200
Appsmith,"SF Bay Area",Unknown,35,0.25,2023-09-22,"Series B","United States",51
Aptiv,Krakow,Transportation,250,NULL,2024-02-20,Post-IPO,Poland,8
Archipelago,"SF Bay Area","Real Estate",40,0.3,2023-08-01,"Series B","United States",57
"Arkane Studios",Austin,Consumer,96,1.0,2024-05-08,Unknown,"United States",NULL
"Arm Holdings",Shanghai,Hardware,70,NULL,2023-12-18,Post-IPO,China,NULL
Arrival,London,Transportation,NULL,0.25,2023-10-05,Post-IPO,"United Kingdom",629
Artifact,"SF Bay Area",Media,NULL,1.0,2024-01-12,Unknown,"United States",NULL
Assurance,Seattle,Finance,112,1.0,2024-05-01,Acquired,"United States",NULL
Astra,"SF Bay Area",Aerospace,NULL,0.25,2023-08-04,Post-IPO,"United States",300
"Astrate Medical",Philadelphia,Healthcare,NULL,1.0,2024-02-05,"Series A","United States",13
At-Bay,"SF Bay Area",Security,27,0.09,2023-09-12,Unknown,"United States",296
Atlas,Chicago,HR,150,0.3,2023-08-23,"Series B","United States",220
Atmosphere,Austin,Other,NULL,NULL,2023-12-07,"Series D","United States",214
Atmosphere,Austin,Other,100,NULL,2024-05-15,"Series D","United States",214
Audible,"New York City",Media,100,0.05,2024-01-11,Acquired,"United States",14
Augury,"New York City",Manufacturing,70,0.18,2023-08-02,"Series E","United States",274
Aurora,Pittsburgh,Transportation,NULL,0.03,2024-01-24,Post-IPO,"United States",3700
"Aurora Solar","SF Bay Area",Energy,111,0.2,2024-01-30,"Series D","United States",523
"Ava Labs","New York City",Crypto,NULL,0.12,2023-11-06,Unknown,"United States",640
Aware,Columbus,Security,NULL,NULL,2023-08-03,"Series C","United States",88
Away,"New York City",Retail,NULL,0.25,2024-02-14,"Series D","United States",181
Ayoconnect,Jakarta,Finance,NULL,0.1,2023-08-03,"Series B",Indonesia,43
"Babylon Health",London,Healthcare,94,NULL,2023-08-09,Post-IPO,"United Kingdom",1200
Bakkt,Atlanta,Crypto,28,NULL,2024-05-03,Post-IPO,"United States",932
Bandcamp,"SF Bay Area",Other,58,0.5,2023-10-16,Acquired,"United States",NULL
Bardee,Melbourne,Food,30,NULL,2023-08-03,Seed,Australia,5
"Beam Benefits",Columbus,Healthcare,74,NULL,2024-01-10,"Series E","United States",168
Beamery,London,HR,NULL,0.25,2023-11-16,"Series D","United Kingdom",223
"Belora Paris",Gurugram,Retail,NULL,1.0,2023-10-18,Seed,India,NULL
BenchSci,Toronto,Healthcare,70,0.17,2024-01-08,"Series D",Canada,164
Better.com,"New York City","Real Estate",NULL,NULL,2023-09-06,Unknown,"United States",905
BetterUp,"SF Bay Area",HR,100,0.16,2023-08-02,"Series E","United States",567
"Beyond Meat","Los Angeles",Food,65,0.08,2023-11-02,Post-IPO,"United States",122
"Big Cabal Media",Lagos,Media,NULL,0.19,2023-08-04,Seed,Nigeria,3
BigCommerce,Austin,Retail,NULL,0.07,2023-11-08,Post-IPO,"United States",224
Bill.com,"SF Bay Area",Finance,NULL,0.15,2023-12-05,Post-IPO,"United States",280
BillGO,"Fort Collins",Finance,80,NULL,2024-02-05,"Series B","United States",119
Binance.US,"SF Bay Area",Crypto,100,0.33,2023-09-12,Subsidiary,"United States",NULL
Biofourmis,Boston,Healthcare,120,NULL,2023-08-31,"Series D","United States",464
Bird,"Los Angeles",Transportation,NULL,NULL,2023-10-04,Post-IPO,"United States",916
Bizongo,Mumbai,Retail,50,NULL,2023-10-05,"Series E",India,315
BlackLine,"Los Angeles",Finance,95,0.05,2023-08-23,Post-IPO,"United States",220
Blend,"SF Bay Area",Finance,150,0.19,2023-08-09,Post-IPO,"United States",665
BlissClub,Bengaluru,Retail,21,0.18,2024-02-09,"Series A",India,20
Block,"SF Bay Area",Finance,NULL,NULL,2023-10-04,Post-IPO,"United States",150
Block,"SF Bay Area",Finance,1000,0.1,2024-01-30,Post-IPO,"United States",150
"Blue Origin",Seattle,Aerospace,NULL,NULL,2023-09-06,Unknown,"United States",167
"Blue Origin",Seattle,Aerospace,40,NULL,2023-10-09,Unknown,"United States",167
Blueboard,"SF Bay Area",HR,NULL,1.0,2024-03-15,"Series A","United States",16
Bolt,"SF Bay Area",Finance,NULL,0.29,2023-12-14,"Series E","United States",1300
Bolt.Earth,Bengaluru,Energy,NULL,0.2,2023-12-29,"Series B",India,24
Bolt.Earth,Bengaluru,Energy,70,0.4,2024-04-06,"Series B",India,24
"Bowery Farming","New York City",Food,NULL,NULL,2023-11-10,Unknown,"United States",626
Braid,"SF Bay Area",Finance,NULL,1.0,2023-10-09,Unknown,"United States",NULL
Branch,Columbus,Finance,85,NULL,2024-01-09,"Series C","United States",229
Brave,"SF Bay Area",Consumer,NULL,0.09,2023-10-06,"Series B","United States",42
Brex,"SF Bay Area",Finance,282,0.2,2024-01-23,"Series D","United States",1500
Brilliant,"SF Bay Area",Hardware,NULL,1.0,2024-05-08,"Series B","United States",64
Buildertrend,Omaha,Construction,NULL,0.16,2023-11-17,Unknown,"United States",NULL
Bukalapak,Jakarta,Retail,NULL,NULL,2023-08-09,Post-IPO,Indonesia,925
Bullhorn,Boston,Sales,140,0.09,2023-10-19,Acquired,"United States",32
Bumble,Austin,Consumer,350,0.3,2024-02-27,Post-IPO,"United States",313
"Business Insider","New York City",Media,NULL,0.08,2024-01-25,Acquired,"United States",56
BuzzFeed,"New York City",Media,NULL,0.16,2024-02-21,Post-IPO,"United States",696
Byju's,Bengaluru,Education,500,0.03,2024-04-02,"Private Equity",India,5500
Bytedance,Shanghai,Consumer,1000,NULL,2023-11-27,Unknown,China,9400
C2FO,"Kansas City",Finance,80,0.03,2023-10-16,"Series H","United States",537
C3.ai,"SF Bay Area",AI,NULL,NULL,2023-11-20,"Series F","United States",228
Cabify,Madrid,Transportation,29,NULL,2024-05-02,Unknown,Spain,601
"Cake Bikes",Stockholm,Transportation,NULL,1.0,2024-02-02,Unknown,Sweden,74
"Cake Group",Singapore,Crypto,50,0.3,2023-11-14,Unknown,Singapore,NULL
Calendly,Atlanta,Other,60,0.1,2023-07-26,"Series B","United States",351
Caliva,"SF Bay Area",Retail,54,NULL,2023-08-08,"Series B","United States",75
Cambricon,Beijing,Hardware,NULL,NULL,2023-07-31,"Series B",China,200
Captiv8,"SF Bay Area",Marketing,8,0.03,2023-08-24,Unknown,"United States",4
"Carbon Health","SF Bay Area",Healthcare,114,0.05,2023-10-09,"Series D","United States",522
"Carbon Health","SF Bay Area",Healthcare,56,NULL,2024-02-23,"Series D","United States",522
Carta,"SF Bay Area",HR,NULL,NULL,2023-11-09,"Series G","United States",1100
Cellulant,Nairobi,Finance,NULL,0.2,2023-08-23,"Series C",Kenya,54
Certinia,"SF Bay Area",Other,NULL,NULL,2024-01-11,Unknown,"United States",194
Chainalysis,"New York City",Crypto,150,0.15,2023-10-02,"Series F","United States",536
Chargebee,"SF Bay Area",Finance,100,0.1,2023-09-11,"Series H","United States",468
ChargePoint,"SF Bay Area",Manufacturing,NULL,0.1,2023-09-08,Unknown,"United States",1400
ChargePoint,"SF Bay Area",Manufacturing,NULL,0.12,2024-01-10,Unknown,"United States",1400
Checkout.com,London,Finance,80,NULL,2023-12-18,"Series D","United Kingdom",1800
Checkr,"SF Bay Area",HR,382,0.32,2024-04-09,"Series D","United States",679
Chewy,Miami,Retail,200,NULL,2023-11-14,Post-IPO,"United States",451
"Chia Network","SF Bay Area",Crypto,26,0.37,2023-10-02,"Series D","United States",70
Chief,"New York City",HR,NULL,NULL,2024-01-11,"Series B","United States",140
Chingari,Bengaluru,Media,NULL,0.5,2023-08-24,Unknown,India,88
"Chipper Cash","SF Bay Area",Finance,15,0.33,2023-12-11,"Series C","United States",302
"Chipper Cash","SF Bay Area",Finance,20,NULL,2024-03-15,"Series C","United States",302
ChowNow,"Los Angeles",Food,60,0.2,2024-03-28,"Series C","United States",64
CircleCI,"SF Bay Area",Product,NULL,NULL,2023-08-17,"Series F","United States",315
CircleCI,"SF Bay Area",Product,100,NULL,2024-01-31,"Series F","United States",315
Cisco,"SF Bay Area",Infrastructure,350,NULL,2023-09-17,Post-IPO,"United States",2
Cisco,"SF Bay Area",Infrastructure,4250,0.05,2024-02-14,Post-IPO,"United States",2
Citrix,Miami,Infrastructure,1000,0.12,2024-01-10,Acquired,"United States",20
CityMall,Gurugram,Retail,90,NULL,2023-10-16,"Series C",India,112
Clearcover,Chicago,Finance,NULL,0.28,2023-09-01,"Series D","United States",304
Clockwork,Dallas,Crypto,NULL,1.0,2023-08-28,Seed,"United States",4
Cloudflare,"SF Bay Area",Security,40,NULL,2024-01-11,Post-IPO,"United States",332
CloudKitchens,"Los Angeles","Real Estate",NULL,NULL,2023-11-08,Unknown,"United States",1300
CodeClan,Edinburgh,Education,57,1.0,2023-08-04,Seed,"United Kingdom",NULL
CodeSee,"SF Bay Area",Data,NULL,1.0,2024-02-15,Seed,"United States",10
CoinDCX,Mumbai,Crypto,NULL,0.12,2023-08-22,"Series D",India,247
CoinSwitch,Bengaluru,Crypto,44,NULL,2023-08-28,"Series C",India,301
Commure,"SF Bay Area",Healthcare,NULL,NULL,2023-11-09,Unknown,"United States",1900
ComplYant,"Los Angeles",Finance,NULL,1.0,2024-04-29,Seed,"United States",6
ConnectedH,Gurugram,Healthcare,NULL,1.0,2023-08-02,Seed,India,2
ConnectWise,"Tampa Bay",Other,NULL,NULL,2024-04-17,Acquired,"United States",1
Contentful,Berlin,Marketing,NULL,NULL,2023-12-05,"Series F",Germany,350
Convoy,Seattle,Logistics,500,1.0,2023-10-19,"Series E","United States",1100
Copia,Nairobi,Retail,350,0.25,2023-07-26,"Series C",Kenya,103
Cornershop,Santiago,Food,200,NULL,2024-04-10,Acquired,Chile,32
"Course Hero","SF Bay Area",Education,NULL,0.25,2023-12-05,"Series C","United States",477
Cova,Lagos,Finance,NULL,1.0,2024-01-25,Unknown,Nigeria,NULL
Cowbell,"SF Bay Area",Finance,28,0.12,2023-09-29,"Series B","United States",123
Criteo,Paris,Marketing,140,0.04,2024-04-12,Post-IPO,France,61
Cruise,"SF Bay Area",Transportation,900,0.24,2023-12-14,Acquired,"United States",15000
"Cue Health","San Diego",Healthcare,180,1.0,2024-05-22,Post-IPO,"United States",899
"Cue Health","San Diego",Healthcare,230,0.49,2024-05-03,Post-IPO,"United States",899
"Cue Health","San Diego",Healthcare,245,0.3,2024-02-02,Post-IPO,"United States",899
"Cue Health","San Diego",Healthcare,94,0.13,2024-01-05,Post-IPO,"United States",899
Cuemath,Bengaluru,Education,100,NULL,2023-08-26,Unknown,India,121
Cult.fit,Bengaluru,Fitness,100,NULL,2024-01-24,"Series F",India,635
Curalie,Berlin,Healthcare,NULL,1.0,2023-12-14,Unknown,Germany,NULL
Curbio,"Washington D.C.","Real Estate",NULL,NULL,2023-12-14,"Series B","United States",76
Cure.fit,Bengaluru,Fitness,120,NULL,2024-01-23,"Series F",India,625
Cybereason,Boston,Security,NULL,NULL,2024-03-20,"Series F","United States",750
D2iQ,"SF Bay Area",Infrastructure,NULL,1.0,2023-12-08,"Series D","United States",247
Dash,"New York City",Finance,NULL,1.0,2023-10-06,Unknown,"United States",86
Dastgyr,Karachi,Retail,NULL,0.8,2024-01-12,"Series A",Pakistan,41
Datagen,"Tel Aviv",AI,NULL,NULL,2023-08-22,"Series B",Israel,72
Dataminr,"New York City",AI,150,0.2,2023-11-28,"Series F","United States",1100
Datree,"SF Bay Area",Other,NULL,1.0,2023-07-27,Seed,"United States",11
Deadspin,"New York City",Media,11,1.0,2024-03-11,Acquired,"United States",NULL
DealShare,Bengaluru,Retail,130,NULL,2023-09-21,"Series E",India,390
Dealtale,"Tel Aviv",Sales,70,1.0,2023-08-09,Acquired,"United States",2
"Deep Instict","New York City",Security,46,0.15,2023-07-25,Unknown,"United States",322
Deepgram,"SF Bay Area",AI,20,0.2,2023-10-11,"Series B","United States",86
Degreed,"SF Bay Area",Education,NULL,NULL,2023-07-27,Unknown,"United States",463
"Delivery Hero",Berlin,Food,NULL,NULL,2023-12-18,Post-IPO,Germany,9900
Dell,Austin,Hardware,6000,0.05,2024-03-25,Post-IPO,"United States",NULL
"Desktop Metal",Boston,Other,NULL,0.2,2024-01-24,Post-IPO,"United States",811
Detectify,Stockholm,Security,30,NULL,2023-08-18,Unknown,Sweden,42
"Dextrous Robotics",Memphis,Logistics,NULL,1.0,2024-01-11,Unknown,"United States",NULL
DICE,London,Consumer,NULL,NULL,2023-08-02,"Series C","United Kingdom",135
Discord,"SF Bay Area",Consumer,170,0.17,2024-01-11,"Series H","United States",995
Discord,"SF Bay Area",Consumer,37,0.04,2023-08-03,"Series H","United States",995
DispatchHealth,Denver,Healthcare,88,NULL,2024-01-29,"Series E","United States",733
"Divvy Homes","SF Bay Area","Real Estate",94,NULL,2023-09-11,"Series B","United States",180
DocuSign,"SF Bay Area",Sales,440,0.06,2024-02-06,Post-IPO,"United States",536
Domo,"Salt Lake City",Data,NULL,0.07,2023-11-30,Post-IPO,"United States",689
Doximity,"SF Bay Area",Healthcare,100,0.1,2023-08-08,Post-IPO,"United States",82
Drift,Boston,Marketing,100,0.25,2023-09-07,Acquired,"United States",107
Drizly,Boston,Retail,168,1.0,2024-02-05,Acquired,"United States",119
Dunzo,Bengaluru,Food,150,0.3,2023-09-26,Unknown,India,458
DwellWell,"Los Angeles","Real Estate",NULL,1.0,2023-12-04,Seed,"United States",6
Easee,Sandnes,Energy,200,0.57,2023-08-14,Unknown,Norway,NULL
"Eat Just","SF Bay Area",Food,40,NULL,2023-09-22,Unknown,"United States",465
eBay,"SF Bay Area",Retail,1000,0.09,2024-01-23,Post-IPO,"United States",1200
eBay,"Tel Aviv",Retail,20,NULL,2023-12-17,Post-IPO,"United States",1200
Edgio,Phoenix,Infrastructure,80,0.1,2024-03-04,Post-IPO,"United States",462
"Electronic Arts","SF Bay Area",Consumer,670,0.05,2024-02-28,Post-IPO,"United States",2
Embrace,"SF Bay Area",Product,NULL,NULL,2023-08-18,Unknown,"United States",77
Enovix,"SF Bay Area",Energy,170,0.33,2024-05-06,Post-IPO,"United States",516
Enovix,"SF Bay Area",Energy,185,NULL,2023-10-05,Post-IPO,"United States",516
"Enphase Energy","SF Bay Area",Energy,350,0.1,2023-12-18,Post-IPO,"United States",116
"Epic Games",Raleigh,Consumer,870,0.16,2023-09-28,Unknown,"United States",6400
Eroad,Auckland,Transportation,200,0.31,2023-07-28,Unknown,"New Zealand",46
Etsy,"New York City",Retail,225,0.11,2023-12-13,Post-IPO,"United States",97
Eurora,Tallinn,Other,111,NULL,2023-09-11,"Series A",Estonia,42
Everybuddy,"Tel Aviv",Consumer,NULL,1.0,2024-02-13,"Series A",Israel,15
Evolve,Denver,Travel,175,0.2,2023-09-12,"Series F","United States",224
Exabeam,"SF Bay Area",Security,NULL,0.2,2023-10-25,"Series F","United States",391
Expedia,Austin,Travel,NULL,NULL,2024-04-24,Post-IPO,"United States",3300
Expedia,Seattle,Travel,NULL,NULL,2023-08-31,Post-IPO,"United States",3300
Expedia,Seattle,Travel,100,NULL,2023-10-17,Post-IPO,"United States",3300
Expedia,Seattle,Travel,1500,0.08,2024-02-26,Post-IPO,"United States",3300
F5,Seattle,Security,120,0.02,2023-11-03,Post-IPO,"United States",NULL
Fable,Toronto,Other,13,0.09,2023-07-31,"Series A",Canada,12
Fabric,"New York City",Logistics,30,0.15,2024-04-11,"Series C","United States",336
Faire,"SF Bay Area",Retail,250,0.2,2023-11-01,"Series G","United States",1700
FamPay,Bengaluru,Finance,18,NULL,2023-08-02,"Series A",India,42
Farfetch,London,Retail,2000,0.25,2024-02-16,Acquired,"United Kingdom",1700
Fashinza,"New York City",Retail,NULL,NULL,2024-01-18,Unknown,"United States",153
Fi.Money,Bengaluru,Finance,30,0.1,2023-09-27,"Series C",India,137
Figure,"SF Bay Area",Crypto,90,0.2,2023-07-26,Unknown,"United States",1500
Filmic,Seattle,Other,NULL,1.0,2023-12-01,Acquired,"United States",NULL
Finder,Sydney,Retail,60,0.17,2024-02-21,Unknown,Australia,30
FintechOS,Bucharest,Finance,NULL,NULL,2023-11-15,"Series B",Romania,91
Fireblocks,"New York City",Crypto,20,0.03,2024-02-07,"Series E","United States",1000
"First Mode",Seattle,Transportation,48,0.2,2024-01-16,Acquired,"United States",9
Fisker,"Los Angeles",Transportation,NULL,NULL,2024-04-29,Post-IPO,"United States",1700
Fisker,"Los Angeles",Transportation,NULL,NULL,2024-05-29,Post-IPO,"United States",1700
Fisker,"Los Angeles",Transportation,NULL,0.15,2024-02-29,Post-IPO,"United States",1700
Fission,Vancouver,Other,NULL,1.0,2024-04-07,Unknown,Canada,NULL
"Fit Analytics",Berlin,Retail,NULL,1.0,2023-09-28,Acquired,"United States",NULL
Flex,"SF Bay Area",Manufacturing,31,NULL,2023-12-13,Unknown,"United States",NULL
FlexCar,Boston,Transportation,20,NULL,2023-08-16,Unknown,"United States",297
Flexe,Seattle,Logistics,131,0.33,2023-09-26,"Series D","United States",263
Flexe,Seattle,Logistics,99,0.38,2024-01-08,"Series D","United States",263
Flexport,"SF Bay Area",Logistics,NULL,0.2,2023-10-13,"Series E","United States",2400
Flexport,"SF Bay Area",Logistics,NULL,0.2,2024-01-26,"Series E","United States",2400
FlightStats,Portland,Travel,73,NULL,2024-05-30,Acquired,"United States",3
Flipkart,Bengaluru,Retail,1100,0.05,2024-01-08,Acquired,India,12900
